Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integrate/0/3.14159,7898,0,260.0,221.6509161843518,40.8723129999089,599.1990949999035,114.0,43.92881604337773,0.0,260,270,270,270,280,280,320,410,580,600,600
,Aggregated,7898,0,260.0,221.6509161843518,40.8723129999089,599.1990949999035,114.0,43.92881604337773,0.0,260,270,270,270,280,280,320,410,580,600,600
