Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/integrate?lower=0&upper=3.14159,12614,0,130.0,138.7482247799366,55.951533000552445,3692.423865000819,118.0,70.14260741854771,0.0,130,160,170,180,210,230,260,280,360,2300,3700
,Aggregated,12614,0,130.0,138.7482247799366,55.951533000552445,3692.423865000819,118.0,70.14260741854771,0.0,130,160,170,180,210,230,260,280,360,2300,3700
